Ticker,Name,MktCap,PE,ROE,Chg Pct Ytd
1299 HK Equity,AIA,1185.30,22.35,9.58,3.16
700 HK Equity,TENCENT,5982.19,40.15,24.9,10.82
5 HK Equity,HSBC HOLDINGS PL,932.89,14.06,2.31,12.27
939 HK Equity,CCB-H,1662.63,5.49,11.32,11.38
3690 HK Equity,MEITUAN-B,1900.79,398.54,8.8,9.78
9988 HK Equity,ALIBABA GROUP HO,4814.95,22.18,18.91,-4.3
2318 HK Equity,PING AN,1789.78,9.05,19.93,1.47
388 HK Equity,HKEX,579.15,39.24,24.72,7.11
1810 HK Equity,XIAOMI CORP-B,660.28,42.09,16.06,-20.93
1398 HK Equity,ICBC-H,2256.95,5.7,11.39,9.74
941 HK Equity,CHINA MOBILE,1102.60,8.56,9.64,21.61
2269 HK Equity,WUXI BIOLOGICS C,384.39,121.43,11.73,-11.48
3988 HK Equity,BANK OF CHINA-H,1070.00,4.27,8.34,10.19
669 HK Equity,TECHTRONIC IND,247.06,32.54,21.95,21.97
27 HK Equity,GALAXY ENTERTAIN,339.09,47.59,-5.64,29.46
1 HK Equity,CKH HOLDINGS,239.28,8.12,7.6,14.7
883 HK Equity,CNOOC,403.17,13.78,9.44,25.49
16 HK Equity,SHK PPT,338.46,10.82,3.76,16.9
823 HK Equity,LINK REIT,147.71,24.77,-16.26,0.78
175 HK Equity,GEELY AUTOMOBILE,243.01,27.48,12.49,-7.17
2 HK Equity,CLP HOLDINGS,188.35,15.71,10.53,4.04
2313 HK Equity,SHENZHOU INTL GP,255.70,40.15,20.78,11.97
2020 HK Equity,ANTA SPORTS PROD,329.54,53.26,22.99,-0.98
2319 HK Equity,MENGNIU DAIRY,181.81,44.16,11.51,-1.71
2382 HK Equity,SUNNY OPTICAL,194.91,37.23,36.69,4.77
3 HK Equity,HONG KG CHINA GS,211.12,33.18,9.24,2.59
1109 HK Equity,CHINA RES LAND,274.18,9.28,17.44,20.31
2628 HK Equity,CHINA LIFE-H,917.90,7.44,11.68,-4.21
11 HK Equity,HANG SENG BANK,288.69,16.91,9.86,13.01
1928 HK Equity,SANDS CHINA LTD,318.79,59.69,-47.78,15.71
1113 HK Equity,CK ASSET HOLDING,168.79,9.19,6.27,14.7
2388 HK Equity,BOC HONG KONG HO,301.85,10.9,10.52,21.49
386 HK Equity,SINOPEC CORP-H,621.24,12.18,5.21,25.07
1177 HK Equity,SINO BIOPHARM,167.49,49.94,7.4,18.53
241 HK Equity,ALIBABA HEALTH,318.97,582.26,2.85,3.71
1093 HK Equity,CSPC PHARMACEUTI,117.46,18.62,25.3,23.46
960 HK Equity,LONGFOR GROUP HO,284.85,12.48,20.58,3.63
66 HK Equity,MTR CORP,281.56,33.11,-2.65,4.96
688 HK Equity,CHINA OVERSEAS,228.20,5.02,14.55,24.56
2007 HK Equity,COUNTRY GARDEN,214.40,4.38,26.3,-9.33
1997 HK Equity,WHARF REAL ESTAT,135.11,17.16,-3.73,10.41
288 HK Equity,WH GROUP LTD,106.17,10.78,14,10.62
857 HK Equity,PETROCHINA-H,918.25,21.76,1.52,25
6 HK Equity,POWER ASSETS,95.51,15.38,6.77,6.43
17 HK Equity,NEW WORLD DEV,101.30,12.82,0.49,9.83
6862 HK Equity,HAIDILAO INTERNA,294.68,354.64,5.18,-6.45
12 HK Equity,HENDERSON LAND D,164.85,11.43,3.91,12.73
267 HK Equity,CITIC,197.23,4.31,8.05,23.32
1876 HK Equity,BUDWEISER BREWIN,317.84,40.66,5.13,-6.25
3328 HK Equity,BANKCOMM-H,381.31,4.16,9.8,12.68
1044 HK Equity,HENGAN INTL,65.60,11.88,24.06,0.91
101 HK Equity,HANG LUNG PPT,87.62,17.82,-1.86,-4.84
1038 HK Equity,CKI HOLDINGS,121.93,13.97,6.86,10.44
2018 HK Equity,AAC TECHNOLOGIES,51.54,28.16,9.36,-1.84
762 HK Equity,CHINA UNICOM,141.98,8.19,3.86,4.04
