Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AMRS,Amyris Inc. Common Stock,$20.9425,1.2525,6.361%,5527150003.00,United States,2010,1984940,Basic Industries,Major Chemicals
BCPC,Balchem Corporation Common Stock,$128.06,-0.12,-0.094%,4148222608.00,United States,,109128,Basic Industries,Major Chemicals
CSWI,CSW Industrials Inc. Common Stock,$130.19,-2.36,-1.78%,2037771245.00,United States,,47471,Basic Industries,Home Furnishings
CVCO,Cavco Industries Inc. Common Stock When Issued,$222.825,5.825,2.684%,2048260210.00,United States,,40740,Basic Industries,Homebuilding
IOSP,Innospec Inc. Common Stock,$103.34,-1.58,-1.506%,2542028521.00,United States,,89091,Basic Industries,Major Chemicals
MEOH,Methanex Corporation Common Stock,$38.6328,0.0428,0.111%,2944177872.00,Canada,,120053,Basic Industries,Major Chemicals
PAAS,Pan American Silver Corp. Common Stock,$33.32,-0.14,-0.418%,7005914346.00,Canada,,700041,Basic Industries,Precious Metals
REGI,Renewable Energy Group Inc. Common Stock,$67.87,0.04,0.059%,2669655523.00,United States,2012,549507,Basic Industries,Major Chemicals
RGLD,Royal Gold Inc. Common Stock,$105.60,-0.16,-0.151%,6928045978.00,United States,,143017,Basic Industries,Precious Metals
SRCL,Stericycle Inc. Common Stock,$68.74,-0.35,-0.507%,6297215996.00,United States,1996,206270,Basic Industries,Environmental Services
SSRM,SSR Mining Inc. Common Stock,$15.68,0.25,1.62%,3446943745.00,Canada,,477348,Basic Industries,Precious Metals
STLD,Steel Dynamics Inc.,$47.46,0.11,0.232%,10014302046.00,United States,1996,911037,Basic Industries,Steel/Iron Ore
UFPI,UFP Industries Inc. Common Stock,$70.815,-0.465,-0.652%,4373038978.00,United States,1993,263703,Basic Industries,Forest Products
WDFC,WD-40 Company Common Stock,$299.86,5.01,1.699%,4104544552.00,United States,1973,56833,Basic Industries,Major Chemicals
