Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
APPH,AppHarvest Inc. Common Stock,$22.075,0.165,0.753%,2161688702.00,United States,2020,1112433,Consumer Non-Durables,Farming/Seeds/Milling
BYND,Beyond Meat Inc. Common Stock,$138.63,4.91,3.672%,8725419057.00,United States,2019,1369340,Consumer Non-Durables,Packaged Foods
CALM,Cal-Maine Foods Inc. Common Stock,$42.31,0.26,0.618%,2063383854.00,United States,1996,159699,Consumer Non-Durables,Farming/Seeds/Milling
COKE,Coca-Cola Consolidated Inc. Common Stock,$304.05,0.08,0.026%,2850070140.00,United States,1972,19433,Consumer Non-Durables,Beverages (Production/Distribution)
COLM,Columbia Sportswear Company Common Stock,$105.93,-0.09,-0.085%,7032280209.00,United States,1998,76575,Consumer Non-Durables,Apparel
CROX,Crocs Inc. Common Stock,$77.67,-0.20,-0.257%,5082714470.00,United States,2006,520799,Consumer Non-Durables,Shoe Manufacturing
CTAS,Cintas Corporation Common Stock,$334.93,-2.30,-0.682%,35177685508.00,United States,1983,149525,Consumer Non-Durables,Apparel
ENTG,Entegris Inc. Common Stock,$102.49,0.88,0.866%,13829342819.00,United States,2000,91988,Consumer Non-Durables,Plastic Products
FIZZ,National Beverage Corp. Common Stock,$51.31,1.26,2.517%,4787281801.00,United States,,254941,Consumer Non-Durables,Beverages (Production/Distribution)
FOXF,Fox Factory Holding Corp. Common Stock,$134.73,3.33,2.534%,5632017681.00,United States,2013,181929,Consumer Non-Durables,Motor Vehicles
HAIN,Hain Celestial Group Inc. (The) Common Stock,$44.23,0.44,1.005%,4418892581.00,United States,,123268,Consumer Non-Durables,Packaged Foods
HAS,Hasbro Inc. Common Stock,$95.26,-0.27,-0.283%,13084122656.00,United States,,198126,Consumer Non-Durables,Recreational Products/Toys
IPAR,Inter Parfums Inc. Common Stock,$73.0625,-1.7075,-2.284%,2311339348.00,United States,,75930,Consumer Non-Durables,Package Goods/Cosmetics
JJSF,J & J Snack Foods Corp. Common Stock,$160.51,-1.065,-0.659%,3046421535.00,United States,1986,59927,Consumer Non-Durables,Specialty Foods
KDP,Keurig Dr Pepper Inc. Common Stock,$34.115,0.225,0.664%,48008922984.00,United States,,2591761,Consumer Non-Durables,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$39.20,0.26,0.668%,47948489282.00,United States,,3285442,Consumer Non-Durables,Packaged Foods
LANC,Lancaster Colony Corporation Common Stock,$183.77,1.51,0.828%,5062679730.00,United States,,78355,Consumer Non-Durables,Packaged Foods
LULU,lululemon athletica inc. Common Stock,$307.52,1.17,0.382%,40081555598.00,Canada,2007,445883,Consumer Non-Durables,Apparel
MAT,Mattel Inc. Common Stock,$20.82,0.03,0.144%,7248893945.00,United States,,568939,Consumer Non-Durables,Recreational Products/Toys
MDLZ,Mondelez International Inc. Class A Common Stock,$58.045,0.135,0.233%,83175176783.00,United States,,3255426,Consumer Non-Durables,Packaged Foods
MNST,Monster Beverage Corporation,$88.17,0.25,0.284%,46565842464.00,United States,,652897,Consumer Non-Durables,Beverages (Production/Distribution)
NWL,Newell Brands Inc. Common Stock,$26.36,0.07,0.266%,11192456000.00,United States,,847352,Consumer Non-Durables,Plastic Products
PEP,PepsiCo Inc. Common Stock,$133.065,0.535,0.404%,183577623815.00,United States,,2631144,Consumer Non-Durables,Beverages (Production/Distribution)
PPC,Pilgrim's Pride Corporation Common Stock,$25.23,0.36,1.448%,6143820123.00,United States,,105195,Consumer Non-Durables,Meat/Poultry/Fish
SAFM,Sanderson Farms Inc. Common Stock,$161.71,1.82,1.138%,3611048014.00,United States,1987,97210,Consumer Non-Durables,Meat/Poultry/Fish
SHOO,Steven Madden Ltd. Common Stock,$37.19,-0.20,-0.535%,3093898468.00,United States,1993,408636,Consumer Non-Durables,Shoe Manufacturing
SONO,Sonos Inc. Common Stock,$42.26,1.90,4.708%,5060223726.00,United States,2018,1361782,Consumer Non-Durables,Consumer Electronics/Appliances
