Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AGNC,AGNC Investment Corp. Common Stock,$16.665,0.165,1.00%,8851151113.00,United States,2008,2178083,Consumer Services,Real Estate Investment Trusts
AMCX,AMC Networks Inc. Class A Common Stock,$70.35,0.34,0.486%,2916693975.00,United States,,264311,Consumer Services,Television Services
AMZN,Amazon.com Inc. Common Stock,$3034.60,6.61,0.218%,1528117569108.00,United States,1997,1608987,Consumer Services,Catalog/Specialty Distribution
ANGI,Angi Inc. Class A Common Stock,$16.60,0.09,0.545%,8300897396.00,United States,,301631,Consumer Services,Advertising
ASO,Academy Sports and Outdoors Inc. Common Stock,$25.60,0.51,2.033%,2301795968.00,United States,2020,332353,Consumer Services,Other Specialty Stores
BBBY,Bed Bath & Beyond Inc. Common Stock,$31.58,0.99,3.236%,3827960984.00,United States,1992,1271528,Consumer Services,Home Furnishings
BECN,Beacon Roofing Supply Inc. Common Stock,$52.91,-0.18,-0.339%,3672345375.00,United States,2004,295886,Consumer Services,RETAIL: Building Materials
BKNG,Booking Holdings Inc. Common Stock,$2292.60,-54.35,-2.316%,93909013510.00,United States,,214994,Consumer Services,Transportation Services
BLDR,Builders FirstSource Inc. Common Stock,$45.63,-0.05,-0.109%,9419477604.00,United States,2005,1192671,Consumer Services,RETAIL: Building Materials
BLMN,Bloomin' Brands Inc. Common Stock,$27.82,0.11,0.397%,2454288301.00,United States,2012,652529,Consumer Services,Restaurants
BZUN,Baozun Inc. American Depositary Shares,$44.12,-0.01,-0.023%,3438504730.00,China,2015,132759,Consumer Services,Catalog/Specialty Distribution
CAKE,Cheesecake Factory Incorporated (The) Common Stock,$60.00,0.19,0.318%,2749622820.00,United States,1992,240208,Consumer Services,Restaurants
CAR,Avis Budget Group Inc. Common Stock,$66.075,-1.275,-1.893%,4614821977.00,United States,,654181,Consumer Services,Rental/Leasing Companies
CBRL,Cracker Barrel Old Country Store Inc Common Stock,$169.65,-0.51,-0.30%,4024966099.00,United States,1981,135752,Consumer Services,Restaurants
CCOI,Cogent Communications Holdings Inc.,$63.67,0.14,0.22%,3029314691.00,United States,,165848,Consumer Services,Telecommunications Equipment
CDW,CDW Corporation Common Stock,$157.34,0.24,0.153%,22183538887.00,United States,2013,277748,Consumer Services,Catalog/Specialty Distribution
CHDN,Churchill Downs Incorporated Common Stock,$239.00,-0.03,-0.013%,9206666463.00,United States,,191739,Consumer Services,Services-Misc. Amusement & Recreation
CHTR,Charter Communications Inc. Class A Common Stock New,$627.05,-2.34,-0.372%,128482028938.00,United States,,612469,Consumer Services,Television Services
CMCSA,Comcast Corporation Class A Common Stock,$55.445,-0.425,-0.761%,253974481457.00,United States,,8727441,Consumer Services,Television Services
CONE,CyrusOne Inc Common Stock,$66.71,0.81,1.229%,8035932630.00,United States,2013,260011,Consumer Services,Real Estate Investment Trusts
COST,Costco Wholesale Corporation Common Stock,$325.08,2.10,0.65%,143858882828.00,United States,,1046651,Consumer Services,Department/Specialty Retail Stores
CTRE,CareTrust REIT Inc. Common Stock,$23.81,-0.19,-0.792%,2283225211.00,United States,,400996,Consumer Services,Real Estate Investment Trusts
CZR,Caesars Entertainment Inc. Common Stock,$90.40,-0.20,-0.221%,18828280034.00,United States,,3067449,Consumer Services,Hotels/Resorts
DISCA,Discovery Inc. Series A Common Stock,$76.19,0.24,0.316%,37129992317.00,United States,,2238578,Consumer Services,Television Services
DISCB,Discovery Inc. Series B Common Stock,$79.9146,0.00,0.00%,38945117260.00,United States,,1407,Consumer Services,Television Services
DISCK,Discovery Inc. Series C Common Stock,$64.51,0.43,0.671%,31437928919.00,United States,,1641464,Consumer Services,Television Services
DISH,DISH Network Corporation Class A Common Stock,$37.43,-0.21,-0.558%,19694548715.00,United States,1995,977156,Consumer Services,Television Services
DKNG,DraftKings Inc. Class A Common Stock,$72.07,4.46,6.597%,28662241306.00,United States,2019,10218128,Consumer Services,Services-Misc. Amusement & Recreation
DLTR,Dollar Tree Inc. Common Stock,$106.59,1.34,1.273%,25069131482.00,United States,1995,715647,Consumer Services,Department/Specialty Retail Stores
DRVN,Driven Brands Holdings Inc. Common Stock,$23.91,-0.55,-2.249%,4002779149.00,United States,2021,288005,Consumer Services,Automotive Aftermarket
EQIX,Equinix Inc. Common Stock REIT,$657.00,10.17,1.572%,58662125991.00,United States,2000,176219,Consumer Services,Real Estate Investment Trusts
EXPE,Expedia Group Inc. Common Stock,$178.20,-2.60,-1.438%,25636662988.00,United States,,1038087,Consumer Services,Transportation Services
EXPO,Exponent Inc. Common Stock,$94.89,-0.43,-0.451%,4915670553.00,United States,,181474,Consumer Services,Professional Services
FAST,Fastenal Company Common Stock,$47.20,-0.30,-0.632%,27108906481.00,United States,1987,1383133,Consumer Services,RETAIL: Building Materials
FCFS,FirstCash Inc. Common Stock,$66.61,-2.42,-3.506%,2733551438.00,United States,1991,296738,Consumer Services,Other Specialty Stores
FIVE,Five Below Inc. Common Stock,$192.47,5.20,2.777%,10753620710.00,United States,2012,509374,Consumer Services,Department/Specialty Retail Stores
FOX,Fox Corporation Class B Common Stock,$40.66,0.26,0.644%,24011487407.00,United States,,382186,Consumer Services,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$42.91,0.03,0.07%,25340209656.00,United States,,1149406,Consumer Services,Broadcasting
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$41.85,0.16,0.384%,9701705544.00,United States,,38691,Consumer Services,Broadcasting
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$46.65,0.07,0.15%,10814445965.00,United States,,118262,Consumer Services,Broadcasting
GLPI,Gaming and Leisure Properties Inc. Common Stock,$42.615,-0.175,-0.409%,9919957670.00,United States,,342650,Consumer Services,Real Estate Investment Trusts
GO,Grocery Outlet Holding Corp. Common Stock,$36.20,0.79,2.231%,3448038742.00,United States,2019,162853,Consumer Services,Food Chains
HST,Host Hotels & Resorts Inc. Common Stock,$17.685,-0.305,-1.695%,12474372049.00,United States,,2024620,Consumer Services,Real Estate Investment Trusts
HTHT,Huazhu Group Limited American Depositary Shares,$58.93,-1.37,-2.272%,18887801271.00,China,2010,276558,Consumer Services,Hotels/Resorts
IAC,IAC/InterActiveCorp Common Stock,$236.795,1.705,0.725%,21018963256.00,United States,,104225,Consumer Services,Other Consumer Services
IHRT,iHeartMedia Inc. Class A Common Stock,$18.5897,0.7547,4.232%,2602775778.00,United States,,525273,Consumer Services,Broadcasting
IQ,iQIYI Inc. American Depositary Shares,$27.645,1.015,3.811%,21819781282.00,China,2018,2149619,Consumer Services,Consumer Electronics/Video Chains
JACK,Jack In The Box Inc. Common Stock,$115.61,0.76,0.662%,2639130051.00,United States,,208989,Consumer Services,Restaurants
JD,JD.com Inc. American Depositary Shares,$84.98,1.08,1.287%,131867672510.00,China,2014,4537986,Consumer Services,Other Specialty Stores
LAMR,Lamar Advertising Company Class A Common Stock,$94.845,-1.555,-1.613%,9570973127.00,United States,1996,171163,Consumer Services,Real Estate Investment Trusts
LAUR,Laureate Education Inc. Class A Common Stock,$14.08,-0.14,-0.985%,2801360742.00,United States,2017,422672,Consumer Services,Other Consumer Services
LBRDA,Liberty Broadband Corporation Class A Common Stock,$148.03,-0.22,-0.148%,28913037671.00,United States,,22784,Consumer Services,Television Services
LBRDK,Liberty Broadband Corporation Class C Common Stock,$152.55,-0.44,-0.288%,29795878516.00,United States,,305564,Consumer Services,Television Services
LBTYB,Liberty Global plc Class B Ordinary Shares,$26.65,0.00,0.00%,15388043605.00,United Kingdom,,6,Consumer Services,Television Services
LESL,Leslie's Inc. Common Stock,$23.43,0.52,2.27%,4378442380.00,United States,2020,432986,Consumer Services,Other Specialty Stores
LILA,Liberty Latin America Ltd. Class A Common Stock,$14.22,0.22,1.571%,3300069556.00,United States,,202279,Consumer Services,Television Services
LILAK,Liberty Latin America Ltd. Class C Common Stock,$14.32,0.215,1.524%,3323276797.00,United States,,657423,Consumer Services,Television Services
LKQ,LKQ Corporation Common Stock,$43.30,-0.30,-0.688%,13133428609.00,United States,,435084,Consumer Services,Motor Vehicles
LOPE,Grand Canyon Education Inc. Common Stock,$110.67,0.67,0.609%,5187515920.00,United States,2008,69294,Consumer Services,Other Consumer Services
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,$45.18,-0.47,-1.03%,15273098051.00,United States,,137419,Consumer Services,Broadcasting
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,$45.2113,0.00,0.00%,15283679016.00,United States,,1,Consumer Services,Broadcasting
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,$45.23,-0.38,-0.833%,15290000550.00,United States,,180359,Consumer Services,Broadcasting
MANT,ManTech International Corporation Common Stock $0.01 Par Value,$85.75,-0.62,-0.718%,3473054218.00,United States,2002,117885,Consumer Services,Other Consumer Services
MAR,Marriott International Class A Common Stock,$150.60,-3.69,-2.392%,48856770990.00,United States,,1161558,Consumer Services,Hotels/Resorts
MIK,The Michaels Companies Inc. Common Stock,$21.88,0.01,0.046%,3099457042.00,United States,2014,1162456,Consumer Services,Recreational Products/Toys
MLCO,Melco Resorts & Entertainment Limited American Depositary Shares,$20.91,-0.29,-1.368%,9973828218.00,Hong Kong,,357714,Consumer Services,Hotels/Resorts
MMYT,MakeMyTrip Limited Ordinary Shares,$36.48,-0.17,-0.464%,3797500512.00,India,2010,135946,Consumer Services,Transportation Services
MNRO,Monro Inc. Common Stock,$66.77,1.33,2.032%,2231947899.00,United States,1991,157647,Consumer Services,Automotive Aftermarket
MODV,ModivCare Inc. Common Stock,$152.40,4.65,3.147%,2162638296.00,United States,,62775,Consumer Services,Transportation Services
NFLX,Netflix Inc. Common Stock,$507.56,2.77,0.549%,224795918673.00,United States,2002,1407722,Consumer Services,Consumer Electronics/Video Chains
