Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABCB,Ameris Bancorp Common Stock,$55.14,0.02,0.036%,3838790171.00,United States,1994,452687,Finance,Major Banks
ABNB,Airbnb Inc. Class A Common Stock,$194.03,2.58,1.348%,115719299328.00,United States,2020,1329985,Finance,Diversified Commercial Services
ACGL,Arch Capital Group Ltd. Common Stock,$37.05,-0.58,-1.541%,14931687781.00,Bermuda,,439211,Finance,Property-Casualty Insurers
ANAT,American National Group Inc. Common Stock,$114.36,2.69,2.409%,3074820192.00,United States,,22868,Finance,Life Insurance
AUB,Atlantic Union Bankshares Corporation Common Stock,$39.80,-0.28,-0.699%,3136190131.00,United States,,312378,Finance,Major Banks
BANF,BancFirst Corporation Common Stock,$74.73,-0.22,-0.294%,2447146916.00,United States,1993,77927,Finance,Major Banks
BHF,Brighthouse Financial Inc. Common Stock,$46.04,-0.28,-0.604%,4022926858.00,United States,,229173,Finance,Life Insurance
BOKF,BOK Financial Corporation Common Stock,$94.485,-0.785,-0.824%,6574040953.00,United States,,63059,Finance,Major Banks
BPOP,Popular Inc. Common Stock,$72.51,-0.05,-0.069%,6109720589.00,United States,,100327,Finance,Major Banks
BPY,Brookfield Property Partners L.P. Limited Partnership Units,$18.13,0.18,1.003%,16846719058.00,Bermuda,,455675,Finance,Real Estate
BRP,BRP Group Inc. (Insurance Company) Class A Common Stock,$27.185,-0.335,-1.217%,2600267025.00,United States,2019,189700,Finance,Specialty Insurers
CACC,Credit Acceptance Corporation Common Stock,$364.205,-0.885,-0.242%,6125539493.00,United States,1992,26782,Finance,Finance: Consumer Services
CATY,Cathay General Bancorp Common Stock,$43.52,0.01,0.023%,3460294523.00,United States,,409154,Finance,Major Banks
CBSH,Commerce Bancshares Inc. Common Stock,$79.48,-0.44,-0.551%,9305394173.00,United States,,120363,Finance,Major Banks
CG,The Carlyle Group Inc. Common Stock,$36.30,-0.07,-0.192%,12857227462.00,United States,2012,181768,Finance,Investment Managers
CIGI,Colliers International Group Inc. Subordinate Voting Shares,$102.18,-1.42,-1.371%,4109839103.00,Canada,,19126,Finance,Real Estate
CINF,Cincinnati Financial Corporation Common Stock,$107.02,-0.77,-0.714%,17251829692.00,United States,,303047,Finance,Property-Casualty Insurers
CME,CME Group Inc. Class A Common Stock,$201.90,-3.88,-1.886%,72483427493.00,United States,2002,774300,Finance,Investment Bankers/Brokers/Service
COLB,Columbia Banking System Inc. Common Stock,$47.31,-0.62,-1.294%,3388964279.00,United States,1992,282076,Finance,Major Banks
CVBF,CVB Financial Corporation Common Stock,$23.35,-0.43,-1.808%,3166271698.00,United States,,522480,Finance,Major Banks
EBC,Eastern Bankshares Inc. Common Stock,$19.23,0.02,0.104%,3591359301.00,United States,2020,820828,Finance,Savings Institutions
EEFT,Euronet Worldwide Inc. Common Stock,$149.56,-2.18,-1.437%,7889716396.00,United States,1997,164259,Finance,Investment Bankers/Brokers/Service
ERIE,Erie Indemnity Company Class A Common Stock,$231.65,2.41,1.051%,12112947922.00,United States,,29602,Finance,Specialty Insurers
ESGR,Enstar Group Limited Ordinary Shares,$260.93,-5.50,-2.064%,5765342285.00,Bermuda,,47819,Finance,Property-Casualty Insurers
EWBC,East West Bancorp Inc. Common Stock,$77.96,-0.36,-0.46%,11036444275.00,United States,,654838,Finance,Major Banks
FCNCA,First Citizens BancShares Inc. Class A Common Stock,$834.07,-15.95,-1.876%,8187568918.00,United States,,12898,Finance,Major Banks
FFBC,First Financial Bancorp. Common Stock,$24.815,-0.225,-0.899%,2416348515.00,United States,,384303,Finance,Major Banks
FFIN,First Financial Bankshares Inc. Common Stock,$48.74,-0.76,-1.535%,6934208996.00,United States,,600820,Finance,Major Banks
FHB,First Hawaiian Inc. Common Stock,$29.00,-0.38,-1.293%,3796656800.00,United States,2016,153608,Finance,Major Banks
FIBK,First Interstate BancSystem Inc. Class A Common Stock,$48.96,-0.90,-1.805%,3039106712.00,United States,2010,247856,Finance,Major Banks
FITB,Fifth Third Bancorp Common Stock,$38.725,-0.285,-0.731%,27535130997.00,United States,,2738681,Finance,Major Banks
FMBI,First Midwest Bancorp Inc. Common Stock,$23.29,-0.16,-0.682%,2670591891.00,United States,,634668,Finance,Major Banks
FOCS,Focus Financial Partners Inc. Class A Common Stock,$44.15,-0.375,-0.842%,3180300394.00,United States,2018,287333,Finance,Investment Managers
FRME,First Merchants Corporation Common Stock,$48.37,-0.23,-0.473%,2628773387.00,United States,,228676,Finance,Major Banks
FSV,FirstService Corporation Common Shares,$148.40,1.39,0.946%,6501953822.00,Canada,,14180,Finance,Real Estate
FTDR,frontdoor inc. Common Stock,$55.87,-0.80,-1.412%,4777782384.00,United States,,60973,Finance,Diversified Commercial Services
FULT,Fulton Financial Corporation Common Stock,$17.68,0.05,0.284%,2872292800.00,United States,,938063,Finance,Major Banks
GBCI,Glacier Bancorp Inc. Common Stock,$61.11,-1.07,-1.721%,5831505104.00,United States,,476407,Finance,Major Banks
GOCO,GoHealth Inc. Class A Common Stock,$12.2298,0.1298,1.073%,3928127484.00,United States,2020,873212,Finance,Specialty Insurers
GSHD,Goosehead Insurance Inc. Class A Common Stock,$119.49,2.49,2.128%,4392377241.00,United States,2018,88701,Finance,Specialty Insurers
HBAN,Huntington Bancshares Incorporated Common Stock,$16.095,-0.255,-1.56%,16455295958.00,United States,,4746102,Finance,Major Banks
HLNE,Hamilton Lane Incorporated Class A Common Stock,$86.39,0.44,0.512%,4580135606.00,United States,2017,111437,Finance,Investment Managers
HOMB,Home BancShares Inc. Common Stock,$27.85,-0.01,-0.036%,4606325332.00,United States,2006,782432,Finance,Major Banks
HTLF,Heartland Financial USA Inc. Common Stock,$51.76,-0.10,-0.193%,2178902728.00,United States,,173876,Finance,Major Banks
HWC,Hancock Whitney Corporation Common Stock,$44.71,-0.15,-0.334%,3955594655.00,United States,,451600,Finance,Major Banks
IBKR,Interactive Brokers Group Inc. Class A Common Stock,$77.75,-0.28,-0.359%,32405464641.00,United States,2019,159257,Finance,Investment Bankers/Brokers/Service
IBOC,International Bancshares Corporation Common Stock,$49.15,-0.57,-1.146%,3111126583.00,United States,,264222,Finance,Major Banks
IBTX,Independent Bank Group Inc Common Stock,$77.00,-0.03,-0.039%,3325785540.00,United States,2013,181523,Finance,Major Banks
INDB,Independent Bank Corp. Common Stock,$91.54,-0.79,-0.856%,3022509920.00,United States,,149376,Finance,Major Banks
ISBC,Investors Bancorp Inc. Common Stock,$14.60,-0.08,-0.545%,3611836111.00,United States,,1477175,Finance,Major Banks
KNSL,Kinsale Capital Group Inc. Common Stock,$168.04,0.48,0.286%,3826797437.00,United States,2016,104454,Finance,Property-Casualty Insurers
LOB,Live Oak Bancshares Inc. Common Stock,$63.15,-0.59,-0.926%,2698229311.00,United States,2015,187934,Finance,Major Banks
LPLA,LPL Financial Holdings Inc. Common Stock,$145.53,1.36,0.943%,11595844807.00,United States,2010,175600,Finance,Investment Bankers/Brokers/Service
LX,LexinFintech Holdings Ltd. American Depositary Shares,$11.5801,-1.9899,-14.664%,2094373690.00,China,2017,2856432,Finance,Finance: Consumer Services
MKTX,MarketAxess Holdings Inc. Common Stock,$505.14,3.72,0.742%,19193237308.00,United States,2004,161022,Finance,Investment Bankers/Brokers/Service
MORN,Morningstar Inc. Common Stock,$237.04,0.45,0.19%,10169769787.00,United States,2005,27018,Finance,Investment Managers
NAVI,Navient Corporation Common Stock,$13.49,0.55,4.25%,2479079329.00,United States,,3343515,Finance,Investment Bankers/Brokers/Service
NDAQ,Nasdaq Inc. Common Stock,$144.21,-0.73,-0.504%,23765178379.00,United States,,201863,Finance,Investment Bankers/Brokers/Service
