Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABCL,AbCellera Biologics Inc. Common Shares,$31.66,0.29,0.924%,8522484735.00,Canada,2020,192053,Health Care,Major Pharmaceuticals
ABCM,Abcam plc American Depositary Shares,$20.56,0.03,0.146%,4661360095.00,United Kingdom,2020,41699,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABMD,ABIOMED Inc. Common Stock,$300.53,1.67,0.559%,13593262212.00,United States,,123073,Health Care,Medical/Dental Instruments
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$27.275,0.225,0.832%,4365294744.00,United States,2004,655109,Health Care,Major Pharmaceuticals
ACHC,Acadia Healthcare Company Inc. Common Stock,$58.20,-0.49,-0.835%,5182124857.00,United States,,191257,Health Care,Medical Specialities
ADPT,Adaptive Biotechnologies Corporation Common Stock,$41.6108,-0.0592,-0.142%,5793034895.00,United States,2019,345052,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGIO,Agios Pharmaceuticals Inc. Common Stock,$50.05,1.51,3.111%,3483546667.00,United States,2013,154354,Health Care,Major Pharmaceuticals
ALGN,Align Technology Inc. Common Stock,$524.49,10.13,1.969%,41504321886.00,United States,2001,308350,Health Care,Industrial Specialties
ALKS,Alkermes plc Ordinary Shares,$19.86,0.24,1.223%,3162464476.00,Ireland,1991,164913,Health Care,Major Pharmaceuticals
ALLK,Allakos Inc. Common Stock,$117.41,4.95,4.402%,6236515578.00,United States,2018,140512,Health Care,Major Pharmaceuticals
ALLO,Allogene Therapeutics Inc. Common Stock,$36.91,0.36,0.985%,5191310962.00,United States,2018,357586,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$141.53,1.49,1.064%,16559295749.00,United States,2004,96067,Health Care,Major Pharmaceuticals
ALXN,Alexion Pharmaceuticals Inc. Common Stock,$151.32,0.05,0.033%,33267393307.00,United States,1996,506524,Health Care,Major Pharmaceuticals
ALXO,ALX Oncology Holdings Inc. Common Stock,$66.4693,-6.3907,-8.771%,2466511012.00,United States,2020,270999,Health Care,Major Pharmaceuticals
AMED,Amedisys Inc Common Stock,$268.03,-0.97,-0.361%,8804396052.00,United States,,62913,Health Care,Medical/Nursing Services
AMGN,Amgen Inc. Common Stock,$243.345,-1.075,-0.44%,140547891471.00,United States,1983,1551066,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMTI,Applied Molecular Transport Inc. Common Stock,$66.40,1.94,3.01%,2316059290.00,United States,2020,110707,Health Care,Major Pharmaceuticals
APLS,Apellis Pharmaceuticals Inc. Common Stock,$44.52,0.52,1.182%,3578311250.00,United States,2017,382241,Health Care,Major Pharmaceuticals
ARGX,argenx SE American Depositary Shares,$305.86,2.05,0.675%,15507789879.00,Netherlands,2017,75252,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARNA,Arena Pharmaceuticals Inc. Common Stock,$75.77,2.89,3.965%,4571556279.00,United States,2000,280064,Health Care,Major Pharmaceuticals
ARVN,Arvinas Inc. Common Stock,$67.71,1.03,1.545%,3309260368.00,United States,2018,170804,Health Care,Major Pharmaceuticals
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,$67.91,0.07,0.103%,7048542563.00,United States,,674076,Health Care,Major Pharmaceuticals
ASND,Ascendis Pharma A/S American Depositary Shares,$142.57,-0.27,-0.189%,7663192532.00,Denmark,2015,47986,Health Care,Major Pharmaceuticals
AVIR,Atea Pharmaceuticals Inc. Common Stock,$76.70,1.33,1.765%,6336719068.00,United States,2020,87607,Health Care,Major Pharmaceuticals
AXNX,Axonics Modulation Technologies Inc. Common Stock,$57.175,1.735,3.13%,2377849303.00,United States,2018,202571,Health Care,Medical/Dental Instruments
AZN,AstraZeneca PLC American Depositary Shares,$49.06,-0.27,-0.547%,128804046269.00,United Kingdom,,2187668,Health Care,Major Pharmaceuticals
BBIO,BridgeBio Pharma Inc. Common Stock,$65.50,2.03,3.198%,9756639550.00,United States,2019,417096,Health Care,Major Pharmaceuticals
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,$13.40,0.71,5.595%,2378790686.00,United States,1994,2654017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BEAM,Beam Therapeutics Inc. Common Stock,$92.00,3.14,3.534%,5742224252.00,United States,2020,353077,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BGNE,BeiGene Ltd. American Depositary Shares,$335.9162,10.0662,3.089%,30759675117.00,Cayman Islands,2016,46017,Health Care,Major Pharmaceuticals
BIIB,Biogen Inc. Common Stock,$267.16,4.89,1.864%,40698013894.00,United States,,428647,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BLUE,bluebird bio Inc. Common Stock,$30.79,0.50,1.651%,2067272745.00,United States,2013,275701,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$78.36,0.97,1.253%,14248173725.00,United States,1999,257352,Health Care,Major Pharmaceuticals
BNTX,BioNTech SE American Depositary Share,$105.31,1.66,1.602%,25357128903.00,Germany,2019,293478,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BPMC,Blueprint Medicines Corporation Common Stock,$101.2807,2.4907,2.521%,5869990451.00,United States,2015,234375,Health Care,Major Pharmaceuticals
CBPO,China Biologic Products Holdings Inc. Ordinary Shares,$117.30,-0.16,-0.136%,4549843661.00,China,,32550,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CCXI,ChemoCentryx Inc. Common Stock,$55.82,2.30,4.297%,3885812564.00,United States,2012,290141,Health Care,Major Pharmaceuticals
CLOV,Clover Health Investments Corp. Class A Common Stock,$8.49,0.02,0.236%,3741543000.00,United States,,3002961,Health Care,Medical Specialities
CVET,Covetrus Inc. Common Stock,$30.7097,0.7297,2.434%,4183431616.00,United States,,582740,Health Care,Medical/Nursing Services
DCPH,Deciphera Pharmaceuticals Inc. Common Stock,$44.23,1.74,4.095%,2548795459.00,United States,2017,248585,Health Care,Major Pharmaceuticals
DNLI,Denali Therapeutics Inc. Common Stock,$60.865,1.365,2.294%,7363696334.00,United States,2017,273919,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DXCM,DexCom Inc. Common Stock,$341.335,2.185,0.644%,32828700200.00,United States,2005,306162,Health Care,Medical/Dental Instruments
EDIT,Editas Medicine Inc. Common Stock,$44.89,1.64,3.792%,3023915688.00,United States,2016,789719,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENSG,The Ensign Group Inc. Common Stock,$88.79,-0.01,-0.011%,4856427829.00,United States,2007,228744,Health Care,Hospital/Nursing Management
EXEL,Exelixis Inc. Common Stock,$23.53,0.67,2.931%,7341116723.00,United States,2000,482636,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EYE,National Vision Holdings Inc. Common Stock,$43.59,0.56,1.301%,3544385416.00,United States,2017,544772,Health Care,Ophthalmic Goods
FGEN,FibroGen Inc Common Stock,$33.23,0.56,1.714%,3042554352.00,United States,2014,629611,Health Care,Major Pharmaceuticals
