Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEP,American Electric Power Company Inc. Common Stock,$82.60,0.00,0.00%,41024271123.00,United States,,1494804,Public Utilities,Electric Utilities: Central
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$33.265,0.255,0.772%,3682160132.00,United Kingdom,2014,353608,Public Utilities,Electric Utilities: Central
CLNE,Clean Energy Fuels Corp. Common Stock,$14.94,0.56,3.894%,2976375724.00,United States,2007,2274107,Public Utilities,Natural Gas Distribution
CWST,Casella Waste Systems Inc. Class A Common Stock,$63.04,-0.16,-0.253%,3220685295.00,United States,1997,180609,Public Utilities,Environmental Services
EXC,Exelon Corporation Common Stock,$42.655,-0.045,-0.105%,41645688816.00,United States,,2327997,Public Utilities,Power Generation
INFN,Infinera Corporation Common Stock,$10.01,0.00,0.00%,2032398288.00,United States,2007,1062271,Public Utilities,Telecommunications Equipment
LNT,Alliant Energy Corporation Common Stock,$51.45,-0.33,-0.637%,12856380023.00,United States,,618920,Public Utilities,Power Generation
NFE,New Fortress Energy Inc. Class A Common Stock,$48.98,0.78,1.618%,8553027781.00,United States,2019,98392,Public Utilities,Oil/Gas Transmission
NWE,NorthWestern Corporation Common Stock,$62.70,-0.86,-1.353%,3173945917.00,United States,,258468,Public Utilities,Power Generation
SHEN,Shenandoah Telecommunications Co Common Stock,$49.04,-0.33,-0.668%,2448667781.00,United States,,162088,Public Utilities,Telecommunications Equipment
TIGO,Millicom International Cellular S.A. Common Stock,$38.87,-0.10,-0.257%,3934152497.00,Luxembourg,,44583,Public Utilities,Telecommunications Equipment
TMUS,T-Mobile US Inc. Common Stock,$123.27,-1.64,-1.313%,153077389379.00,United States,,2664720,Public Utilities,Telecommunications Equipment
VEON,VEON Ltd. ADS,$1.795,0.005,0.279%,3139683690.00,Netherlands,,932144,Public Utilities,Telecommunications Equipment
VG,Vonage Holdings Corp. Common Stock,$11.895,0.015,0.126%,2963425973.00,United States,2006,1434698,Public Utilities,Telecommunications Equipment
VOD,Vodafone Group Plc American Depositary Shares,$18.775,-0.265,-1.392%,53064553589.00,United Kingdom,,1196060,Public Utilities,Telecommunications Equipment
XEL,Xcel Energy Inc. Common Stock,$62.435,0.035,0.056%,33568104888.00,United States,,1572955,Public Utilities,Power Generation
