Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$24.2571,-0.4429,-1.793%,15516679848.00,United States,,19895877,Transportation,Air Freight/Delivery Services
ALGT,Allegiant Travel Company Common Stock,$255.15,-0.535,-0.209%,4188531429.00,United States,2006,80355,Transportation,Air Freight/Delivery Services
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$96.28,0.67,0.701%,12883752007.00,United States,1997,240430,Transportation,Oil Refining/Marketing
CSX,CSX Corporation Common Stock,$90.805,-1.705,-1.843%,69239271792.00,United States,,2485663,Transportation,Railroads
EXPD,Expeditors International of Washington Inc. Common Stock,$103.025,-0.715,-0.689%,17449435118.00,United States,,487995,Transportation,Oil Refining/Marketing
FWRD,Forward Air Corporation Common Stock,$88.95,-2.56,-2.798%,2448711043.00,United States,,129089,Transportation,Oil Refining/Marketing
HUBG,Hub Group Inc. Class A Common Stock,$67.06,-0.94,-1.382%,2309144442.00,United States,1996,157727,Transportation,Oil Refining/Marketing
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$162.43,0.34,0.21%,17169664125.00,United States,,159596,Transportation,Trucking Freight/Courier Services
JBLU,JetBlue Airways Corporation Common Stock,$20.68,-0.02,-0.097%,6535477817.00,United States,2002,2799646,Transportation,Air Freight/Delivery Services
LSTR,Landstar System Inc. Common Stock,$164.71,-1.70,-1.022%,6322684557.00,United States,1993,123564,Transportation,Trucking Freight/Courier Services
ODFL,Old Dominion Freight Line Inc. Common Stock,$227.57,-2.53,-1.10%,26611378350.00,United States,1991,482610,Transportation,Trucking Freight/Courier Services
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS,$55.135,-2.125,-3.711%,2688600052.00,Mexico,2006,79845,Transportation,Aerospace
RYAAY,Ryanair Holdings plc American Depositary Shares,$112.20,-3.84,-3.309%,25304623641.00,Ireland,1997,581222,Transportation,Air Freight/Delivery Services
SAIA,Saia Inc. Common Stock,$219.31,-4.04,-1.809%,5774364095.00,United States,,100595,Transportation,Trucking Freight/Courier Services
SKYW,SkyWest Inc. Common Stock,$57.47,-1.15,-1.962%,2893274278.00,United States,1986,274462,Transportation,Air Freight/Delivery Services
UAL,United Airlines Holdings Inc. Common Stock,$59.72,-1.10,-1.809%,19019403442.00,United States,,7411659,Transportation,Air Freight/Delivery Services
WERN,Werner Enterprises Inc. Common Stock,$46.78,-0.31,-0.658%,3181491333.00,United States,1986,347583,Transportation,Trucking Freight/Courier Services
