Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AA,Alcoa Corporation Common Stock ,$31.14,-0.05,-0.16%,5799872271.00,,2016,6933486,Basic Industries,Aluminum
ACH,Aluminum Corporation of China Limited American Depositary Shares,$11.70,-0.38,-3.146%,7966610941.00,China,2001,376683,Basic Industries,Aluminum
AEM,Agnico Eagle Mines Limited Common Stock,$60.64,0.52,0.865%,14753784465.00,Canada,,1008802,Basic Industries,Precious Metals
AES,The AES Corporation Common Stock,$26.31,0.31,1.192%,17578023773.00,United States,,11160651,Basic Industries,Electric Utilities: Central
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$16.86,-0.14,-0.824%,3754058829.00,Canada,,5980647,Basic Industries,Precious Metals
AGI,Alamos Gold Inc. Class A Common Shares,$8.26,0.15,1.85%,3244336550.00,Canada,2015,5343031,Basic Industries,Precious Metals
AIN,Albany International Corporation Common Stock,$85.22,-1.41,-1.628%,2752606000.00,United States,,316132,Basic Industries,Textiles
ALB,Albemarle Corporation Common Stock,$151.50,-1.02,-0.669%,17669814509.00,United States,,1670703,Basic Industries,Major Chemicals
AMRC,Ameresco Inc. Class A Common Stock,$44.02,-0.13,-0.294%,2236942418.00,United States,2010,965920,Basic Industries,Engineering & Construction
APD,Air Products and Chemicals Inc. Common Stock,$275.40,6.37,2.368%,60939655506.00,United States,,2431762,Basic Industries,Major Chemicals
APG,APi Group Corporation Common Stock,$20.22,0.04,0.198%,4044000000.00,,2020,3511263,Basic Industries,Engineering & Construction
ATC,Atotech Limited Common Shares,$21.50,-0.30,-1.376%,4185279354.00,,2021,244292,Basic Industries,Major Chemicals
ATI,Allegheny Technologies Incorporated Common Stock,$21.37,-0.09,-0.419%,2710305235.00,United States,,2575354,Basic Industries,Steel/Iron Ore
AU,AngloGold Ashanti Limited Common Stock,$21.96,0.11,0.503%,9154906311.00,South Africa,,5743995,Basic Industries,Precious Metals
AUY,Yamana Gold Inc. Ordinary Shares (Canada),$4.57,0.05,1.106%,4406672089.00,Canada,,16419734,Basic Industries,Precious Metals
AVNT,Avient Corporation Common Stock,$50.85,-0.36,-0.703%,4642268780.00,United States,,1663476,Basic Industries,Major Chemicals
AXTA,Axalta Coating Systems Ltd. Common Shares,$29.33,-0.21,-0.711%,6862282056.00,United States,2014,3173697,Basic Industries,Paints/Coatings
BAK,Braskem SA ADR,$13.53,-0.01,-0.074%,5383205183.00,Brazil,,185092,Basic Industries,Major Chemicals
BBU,Brookfield Business Partners L.P. Limited Partnership Units ,$40.01,-0.08,-0.20%,3162069680.00,,2016,11584,Basic Industries,Engineering & Construction
BDC,Belden Inc Common Stock,$46.10,0.14,0.305%,2058688576.00,United States,,873558,Basic Industries,Telecommunications Equipment
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$68.83,-1.06,-1.517%,174036655000.00,Australia,,2036861,Basic Industries,Precious Metals
BLD,TopBuild Corp. Common Stock,$204.12,6.35,3.211%,6739743364.00,United States,2015,571180,Basic Industries,Engineering & Construction
