Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABB,ABB Ltd Common Stock,$31.36,0.51,1.653%,63686959540.00,Switzerland,,2822876,Consumer Durables,Electrical Products
ABG,Asbury Automotive Group Inc Common Stock,$188.54,-4.76,-2.462%,3644197652.00,United States,2002,386422,Consumer Durables,Automotive Aftermarket
ACB,Aurora Cannabis Inc. Common Shares,$10.14,0.14,1.40%,2001542905.00,,2018,7373240,Consumer Durables,Specialty Chemicals
AIT,Applied Industrial Technologies Inc. Common Stock,$93.16,1.31,1.426%,3617593405.00,United States,,618303,Consumer Durables,Industrial Specialties
AMCR,Amcor plc Ordinary Shares,$11.30,-0.06,-0.528%,17650347422.00,,2019,36592533,Consumer Durables,Miscellaneous manufacturing industries
AN,AutoNation Inc. Common Stock,$89.98,-0.28,-0.31%,7416194790.00,United States,,1671627,Consumer Durables,Automotive Aftermarket
AOS,A.O. Smith Corporation Common Stock,$67.48,0.02,0.03%,10902900154.00,United States,,1939954,Consumer Durables,Consumer Electronics/Appliances
ARD,Ardagh Group S.A. Common Shares,$26.14,-0.13,-0.495%,6178726308.00,,2017,243217,Consumer Durables,Containers/Packaging
ASH,Ashland Global Holdings Inc. Common Stock,$88.35,-0.78,-0.875%,5359963730.00,United States,,844741,Consumer Durables,Specialty Chemicals
AVY,Avery Dennison Corporation Common Stock,$179.51,-2.06,-1.135%,14902822547.00,United States,,1330765,Consumer Durables,Containers/Packaging
AYI,Acuity Brands Inc. ,$136.41,-1.00,-0.728%,4914409240.00,United States,,1114116,Consumer Durables,Building Products
BLL,Ball Corporation Common Stock,$81.25,-1.38,-1.67%,26655537594.00,United States,,4793909,Consumer Durables,Containers/Packaging
BRC,Brady Corporation Common Stock,$55.14,-0.63,-1.13%,2868679784.00,United States,,721234,Consumer Durables,Miscellaneous manufacturing industries
CCK,Crown Holdings Inc.,$96.48,0.34,0.354%,13016319119.00,United States,,2177874,Consumer Durables,Containers/Packaging
CLX,Clorox Company (The) Common Stock,$186.13,1.66,0.90%,23413529643.00,United States,,2232621,Consumer Durables,Specialty Chemicals
CSAN,Cosan S.A. ADR,$16.75,0.10,0.601%,6406221114.00,,2021,1408032,Consumer Durables,Automotive Aftermarket
CTB,Cooper Tire & Rubber Company Common Stock,$56.08,-0.83,-1.458%,2828533318.00,United States,,1256168,Consumer Durables,Automotive Aftermarket
CVNA,Carvana Co. Class A Common Stock,$269.22,6.41,2.439%,46376091074.00,United States,2017,1906973,Consumer Durables,Automotive Aftermarket
CWH,Camping World Holdings Inc. Class A Commom Stock,$39.60,0.05,0.126%,3501702508.00,United States,2016,1307921,Consumer Durables,Automotive Aftermarket
FERG,Ferguson plc Ordinary Shares,$118.74,-2.13,-1.762%,26722766622.00,,2021,11038,Consumer Durables,Industrial Machinery/Components
GNRC,Generac Holdlings Inc. Common Stock,$305.63,-1.33,-0.433%,19209028267.00,United States,2010,12919510,Consumer Durables,Metal Fabrications
GPI,Group 1 Automotive Inc. Common Stock,$164.31,-1.56,-0.94%,2973304796.00,United States,1997,329529,Consumer Durables,Automotive Aftermarket
GPK,Graphic Packaging Holding Company,$18.02,-0.17,-0.935%,4824958867.00,United States,,3330106,Consumer Durables,Containers/Packaging
HI,Hillenbrand Inc Common Stock,$50.50,-0.81,-1.579%,3790159987.00,United States,,1619168,Consumer Durables,Miscellaneous manufacturing industries
IAA,IAA Inc. Common Stock ,$55.02,-0.27,-0.488%,7403075744.00,,2019,1746101,Consumer Durables,Automotive Aftermarket
KMB,Kimberly-Clark Corporation Common Stock,$130.32,-2.08,-1.571%,44049035099.00,United States,,6551666,Consumer Durables,Containers/Packaging
KMX,CarMax Inc,$133.24,-1.32,-0.981%,21657022931.00,United States,,1811038,Consumer Durables,Automotive Aftermarket
LAD,Lithia Motors Inc. Common Stock,$395.40,-4.86,-1.214%,10609521470.00,United States,,772674,Consumer Durables,Automotive Aftermarket
LEG,Leggett & Platt Incorporated Common Stock,$47.38,-0.48,-1.003%,6300943723.00,United States,,3281748,Consumer Durables,Home Furnishings
LZB,La-Z-Boy Incorporated Common Stock,$44.13,-0.12,-0.271%,2043073062.00,United States,,684956,Consumer Durables,Home Furnishings
MHK,Mohawk Industries Inc. Common Stock,$183.74,0.39,0.213%,12903390284.00,United States,,1329732,Consumer Durables,Home Furnishings
MUSA,Murphy USA Inc. Common Stock,$137.29,5.36,4.063%,3740958921.00,United States,2013,1000369,Consumer Durables,Automotive Aftermarket
PAG,Penske Automotive Group Inc. Common Stock,$81.50,-0.94,-1.14%,6551855090.00,United States,,508534,Consumer Durables,Automotive Aftermarket
