Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.87,0.11,3.986%,45159185383.00,,2013,20945243,Consumer Non-Durables,Beverages (Production/Distribution)
ADM,Archer-Daniels-Midland Company Common Stock,$56.83,-0.78,-1.354%,31734671825.00,United States,,7885446,Consumer Non-Durables,Packaged Foods
ATR,AptarGroup Inc. Common Stock,$139.31,-2.20,-1.555%,9077888457.00,United States,,614976,Consumer Non-Durables,Plastic Products
AWI,Armstrong World Industries Inc Common Stock,$94.83,0.35,0.37%,4531765817.00,United States,,253676,Consumer Non-Durables,Plastic Products
AZEK,The AZEK Company Inc. Class A Common Stock,$44.23,1.65,3.875%,6844161434.00,United States,2020,1348226,Consumer Non-Durables,Plastic Products
BERY,Berry Global Group Inc. Common Stock,$58.42,-0.24,-0.409%,7828280000.00,United States,2012,832107,Consumer Non-Durables,Plastic Products
BG,Bunge Limited Bunge Limited,$78.18,-0.35,-0.446%,10957942871.00,United States,2001,1602531,Consumer Non-Durables,Packaged Foods
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,$33.06,1.34,4.224%,2139777357.00,United States,,2255694,Consumer Non-Durables,Packaged Foods
BRFS,BRF S.A.,$4.67,0.18,4.009%,3771992447.00,Brazil,,3214666,Consumer Non-Durables,Meat/Poultry/Fish
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,$39.27,0.41,1.055%,90095057070.00,United Kingdom,,2470371,Consumer Non-Durables,Farming/Seeds/Milling
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$64.29,1.53,2.438%,126795914312.00,Belgium,,1283549,Consumer Non-Durables,Beverages (Production/Distribution)
CAG,ConAgra Brands Inc. Common Stock,$37.85,0.73,1.967%,18492714317.00,United States,,7733252,Consumer Non-Durables,Packaged Foods
CCEP,Coca-Cola European Partners plc Ordinary Shares,$51.78,-0.11,-0.212%,23558533060.00,,2016,938450,Consumer Non-Durables,Beverages (Production/Distribution)
CCU,Compania Cervecerias Unidas S.A. Common Stock,$18.71,0.40,2.185%,3456699368.00,Chile,,195474,Consumer Non-Durables,Beverages (Production/Distribution)
CL,Colgate-Palmolive Company Common Stock,$74.98,-1.09,-1.433%,63625229596.00,United States,,11878763,Consumer Non-Durables,Package Goods/Cosmetics
COTY,Coty Inc. Class A Common Stock,$8.80,0.28,3.286%,6747800418.00,United States,2013,7556549,Consumer Non-Durables,Package Goods/Cosmetics
CPB,Campbell Soup Company Common Stock,$49.79,0.27,0.545%,15086835537.00,United States,,3443884,Consumer Non-Durables,Packaged Foods
CPRI,Capri Holdings Limited Ordinary Shares,$55.19,-0.35,-0.63%,8336128073.00,Hong Kong,2011,2178020,Consumer Non-Durables,Apparel
CRI,Carter's Inc. Common Stock,$89.89,0.94,1.057%,3959936485.00,United States,2003,677029,Consumer Non-Durables,Apparel
