Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AR,Antero Resources Corporation Common Stock,$9.81,0.53,5.711%,2954669289.00,,2013,15057457,Energy,Oil & Gas Production
BBL,BHP Group PlcSponsored ADR,$57.10,-0.69,-1.194%,144377350000.00,Australia,,1873775,Energy,Coal Mining
BC,Brunswick Corporation Common Stock,$99.39,-0.56,-0.56%,7730032800.00,United States,,1567300,Energy,Industrial Machinery/Components
BE,Bloom Energy Corporation Class A Common Stock,$27.07,1.43,5.577%,4651535714.00,,2018,3835747,Energy,Industrial Machinery/Components
BKR,Baker Hughes Company Class A Common Stock,$22.62,-0.36,-1.567%,23533753132.00,,2017,21924249,Energy,Metal Fabrications
BP,BP p.l.c. Common Stock,$25.44,0.03,0.118%,86272213326.00,United Kingdom,,10839037,Energy,Integrated oil Companies
BWXT,BWX Technologies Inc. Common Stock,$64.87,0.40,0.62%,6171752104.00,United States,,630065,Energy,Industrial Machinery/Components
CLR,Continental Resources Inc. Common Stock,$26.59,1.21,4.768%,9710505482.00,United States,2007,3370075,Energy,Oil & Gas Production
CMI,Cummins Inc. Common Stock,$265.90,-2.36,-0.88%,39262151586.00,United States,,2544272,Energy,Industrial Machinery/Components
CNQ,Canadian Natural Resources Limited Common Stock,$30.10,0.52,1.758%,35685777400.00,Canada,,5038689,Energy,Oil & Gas Production
CNX,CNX Resources Corporation Common Stock,$15.00,0.87,6.157%,3295611255.00,United States,1999,10856694,Energy,Oil & Gas Production
COG,Cabot Oil & Gas Corporation Common Stock,$18.05,0.16,0.894%,7209526451.00,United States,1990,9950369,Energy,Oil & Gas Production
COP,ConocoPhillips Common Stock,$52.60,-0.78,-1.461%,71253289149.00,United States,,26924356,Energy,Integrated oil Companies
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),$4.37,0.26,6.326%,2316256979.00,Canada,,7502606,Energy,Oil & Gas Production
CRC,California Resources Corporation Common Stock,$24.13,1.10,4.776%,2010503396.00,,2020,210566,Energy,Oil & Gas Production
CVE,Cenovus Energy Inc Common Stock,$8.00,0.13,1.652%,16139103248.00,Canada,,9909013,Energy,Oil & Gas Production
CVI,CVR Energy Inc. Common Stock,$21.66,0.33,1.547%,2177492774.00,United States,2007,1124485,Energy,Integrated oil Companies
CVX,Chevron Corporation Common Stock,$103.38,-0.74,-0.711%,199148829862.00,United States,,18489367,Energy,Integrated oil Companies
DEN,Denbury Inc. Common Stock,$41.60,2.40,6.122%,2079999958.00,,2020,2859468,Energy,Oil & Gas Production
DVN,Devon Energy Corporation Common Stock,$22.70,0.34,1.521%,15279370000.00,United States,,18099904,Energy,Oil & Gas Production
E,ENI S.p.A. Common Stock,$24.27,0.07,0.289%,43005944504.00,Italy,,312998,Energy,Oil & Gas Production
EAF,GrafTech International Ltd. Common Stock,$11.83,-0.17,-1.417%,3161392156.00,United States,2018,5811401,Energy,Industrial Machinery/Components
EC,Ecopetrol S.A. American Depositary Shares,$13.37,0.28,2.139%,27486510394.00,Colombia,,2174411,Energy,Oil & Gas Production
EMR,Emerson Electric Company Common Stock,$88.49,-0.97,-1.084%,53096625675.00,United States,,10934185,Energy,Consumer Electronics/Appliances
ENB,Enbridge Inc Common Stock,$36.27,0.43,1.20%,73466555016.00,Canada,,3579517,Energy,Natural Gas Distribution
EOG,EOG Resources Inc. Common Stock,$70.08,1.18,1.713%,40896128608.00,United States,,8383983,Energy,Oil & Gas Production
EQNR,Equinor ASA,$19.53,-0.05,-0.255%,63424546682.00,Norway,,2692435,Energy,Integrated oil Companies
EQT,EQT Corporation Common Stock,$18.47,0.87,4.943%,5150441969.00,United States,,8042261,Energy,Oil & Gas Production
FTI,TechnipFMC plc Ordinary Share,$7.83,-0.05,-0.635%,3526896419.00,,,17156222,Energy,Metal Fabrications
GE,General Electric Company Common Stock,$13.22,-0.03,-0.226%,115912193240.00,United States,,68414762,Energy,Consumer Electronics/Appliances
HAL,Halliburton Company Common Stock,$21.79,-0.38,-1.714%,19363308167.00,United States,,23240126,Energy,Oilfield Services/Equipment
HES,Hess Corporation Common Stock,$68.61,1.29,1.916%,21062347401.00,United States,,4721163,Energy,Integrated oil Companies
HFC,HollyFrontier Corporation Common Stock,$36.29,0.29,0.806%,5894034471.00,United States,,4100831,Energy,Integrated oil Companies
HP,Helmerich & Payne Inc. Common Stock,$30.67,0.41,1.355%,3307899662.00,United States,,3749479,Energy,Oil & Gas Production
INT,World Fuel Services Corporation Common Stock,$36.71,0.86,2.399%,2317303332.00,United States,,1167039,Energy,Oil Refining/Marketing
