Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AB,AllianceBernstein Holding L.P.  Units,$42.36,0.87,2.097%,4160723823.00,United States,,651721,Finance,Investment Managers
ABM,ABM Industries Incorporated Common Stock,$50.39,0.13,0.259%,3380649781.00,United States,,1008377,Finance,Diversified Commercial Services
AEG,AEGON N.V. Common Stock,$4.83,-0.03,-0.617%,9797748581.00,Netherlands,,4709907,Finance,Life Insurance
AEL,American Equity Investment Life Holding Company Common Stock,$30.65,-0.18,-0.584%,2925051824.00,United States,2003,2596230,Finance,Life Insurance
AFG,American Financial Group Inc. Common Stock,$116.28,-2.22,-1.873%,10046508278.00,United States,,1986488,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,$51.16,-0.61,-1.178%,35228115166.00,United States,,11172377,Finance,Accident &Health Insurance
AGO,Assured Guaranty Ltd. Common Stock,$44.23,0.55,1.259%,3390275322.00,Bermuda,2004,1565769,Finance,Property-Casualty Insurers
AIG,American International Group Inc. New Common Stock,$46.83,-0.99,-2.07%,40345250123.00,United States,,7285397,Finance,Property-Casualty Insurers
AIZ,Assurant Inc. Common Stock,$143.71,1.10,0.771%,8321248034.00,United States,2004,1450120,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,$121.44,-5.14,-4.061%,23527785600.00,United States,,3122356,Finance,Specialty Insurers
ALL,Allstate Corporation (The) Common Stock,$113.24,-2.80,-2.413%,34297386760.00,United States,,8756425,Finance,Property-Casualty Insurers
ALLY,Ally Financial Inc. Common Stock,$45.21,-0.11,-0.243%,16875601260.00,United States,2014,6843486,Finance,Major Banks
AMG,Affiliated Managers Group Inc. Common Stock,$149.12,2.15,1.463%,6355837376.00,United States,,993549,Finance,Investment Managers
AMP,Ameriprise Financial Inc. Common Stock,$228.43,1.53,0.674%,26669724919.00,United States,,3286970,Finance,Investment Managers
AON,Aon plc Class A Ordinary Shares (Ireland),$222.90,-1.64,-0.73%,50371910723.00,United States,,2655193,Finance,Specialty Insurers
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,$53.02,1.35,2.613%,4209046621.00,United States,2013,1063280,Finance,Investment Managers
APO,Apollo Global Management Inc. Class A Common Stock,$47.29,-0.15,-0.316%,10981805430.00,United States,2011,5285682,Finance,Investment Managers
ARES,Ares Management Corporation Class A Common Stock,$54.20,-0.40,-0.733%,8105037702.00,,2014,1364644,Finance,Investment Managers
ASB,Associated Banc-Corp Common Stock,$22.83,-0.22,-0.954%,3494477717.00,United States,,3241958,Finance,Major Banks
ATH,Athene Holding Ltd. Class A Common Shares,$49.64,-0.55,-1.096%,9520012513.00,Bermuda,2016,3721945,Finance,Life Insurance
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),$6.30,-0.03,-0.474%,7018520399.00,,2014,203242,Finance,Commercial Banks
AX,Axos Financial Inc. Common Stock,$52.12,-0.23,-0.439%,3079100797.00,United States,2018,941450,Finance,Savings Institutions
AXP,American Express Company Common Stock,$140.71,-1.87,-1.312%,113354425376.00,United States,,5098202,Finance,Finance: Consumer Services
AXS,Axis Capital Holdings Limited Common Stock,$51.70,-1.39,-2.618%,4363855187.00,Bermuda,2003,1586162,Finance,Property-Casualty Insurers
BAC,Bank of America Corporation Common Stock,$38.53,-0.41,-1.053%,332408040829.00,United States,,106230908,Finance,Major Banks
BAP,Credicorp Ltd. Common Stock,$146.79,-0.87,-0.589%,11708186328.00,Peru,,535363,Finance,Commercial Banks
BBD,Banco Bradesco Sa American Depositary Shares,$4.76,0.05,1.062%,42072117462.00,Brazil,,48955052,Finance,Major Banks
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),$4.18,-0.07,-1.647%,36945682981.00,Brazil,,26145,Finance,Major Banks
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$5.58,-0.10,-1.761%,37126718314.00,Spain,,2707297,Finance,Commercial Banks
BCH,Banco De Chile Banco De Chile ADS,$24.81,-0.17,-0.681%,12531168898.00,Chile,,48579,Finance,Commercial Banks
BCS,Barclays PLC Common Stock,$10.16,0.16,1.60%,44100641755.00,United Kingdom,,9678058,Finance,Commercial Banks
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),$64.00,3.21,5.28%,75781720192.00,China,2020,4629882,Finance,Real Estate
BEN,Franklin Resources Inc. Common Stock,$29.87,0.38,1.289%,15096410072.00,United States,,8249078,Finance,Investment Managers
BFT,Foley Trasimene Acquisition Corp. II Class A Common Stock,$15.60,-0.29,-1.825%,2860715224.00,United States,2020,5072902,Finance,Business Services
BK,The Bank of New York Mellon Corporation Common Stock,$46.35,-0.35,-0.749%,40646698132.00,United States,,14555141,Finance,Major Banks
BKU,BankUnited Inc. Common Stock,$47.86,-0.37,-0.767%,4444377952.00,United States,2011,1870239,Finance,Savings Institutions
BLK,BlackRock Inc. Common Stock,$729.64,5.91,0.817%,111367765233.00,United States,1999,1452164,Finance,Investment Bankers/Brokers/Service
BMO,Bank Of Montreal Common Stock,$89.20,-0.16,-0.179%,57707894151.00,Canada,,692863,Finance,Commercial Banks
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$62.94,-0.28,-0.443%,76311456665.00,Canada,,1450548,Finance,Major Banks
BOH,Bank of Hawaii Corporation Common Stock,$96.16,0.42,0.439%,3859360829.00,United States,,1573150,Finance,Major Banks
BRO,Brown & Brown Inc. Common Stock,$44.76,-0.95,-2.078%,12626311070.00,United States,,3497834,Finance,Specialty Insurers
BSAC,Banco Santander - Chile ADS,$25.66,0.22,0.865%,12088819009.00,Chile,,550406,Finance,Commercial Banks
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,$7.38,0.02,0.272%,55061243677.00,Brazil,2009,1029495,Finance,Commercial Banks
BSMX,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,$4.78,0.08,1.702%,6488366603.00,Mexico,2012,1179607,Finance,Commercial Banks
BX,The Blackstone Group Inc. Common Stock,$72.47,-0.56,-0.767%,51013376266.00,United States,2007,2712612,Finance,Investment Managers
C,Citigroup Inc. Common Stock,$73.01,-0.83,-1.124%,152395083676.00,United States,,24073693,Finance,Major Banks
CADE,Cadence Bancorporation Class A Common Stock,$22.43,0.22,0.991%,2791589890.00,United States,2017,3174305,Finance,Major Banks
CB,Chubb Limited  Common Stock,$159.23,-8.90,-5.294%,71689311782.00,Switzerland,,6915438,Finance,Property-Casualty Insurers
CBRE,CBRE Group Inc Common Stock Class A,$76.74,-1.61,-2.055%,25753726979.00,United States,,2416135,Finance,Real Estate
CBU,Community Bank System Inc. Common Stock,$79.67,0.22,0.277%,4276294022.00,United States,,898150,Finance,Major Banks
CCIV,Churchill Capital Corp IV Class A Common Stock,$26.88,-0.02,-0.074%,6955200000.00,United States,2020,19451174,Finance,Business Services
CFG,Citizens Financial Group Inc. Common Stock,$44.54,-0.84,-1.851%,18934239902.00,United States,2014,16992665,Finance,Major Banks
CFR,Cullen/Frost Bankers Inc. Common Stock,$117.21,0.59,0.506%,7433995842.00,United States,,1538547,Finance,Major Banks
CIB,BanColombia S.A. Common Stock,$33.47,-0.11,-0.328%,8048087423.00,Colombia,,319203,Finance,Commercial Banks
CIT,CIT Group Inc (DEL) Common Stock,$51.03,-1.28,-2.447%,5037064494.00,United States,,3610363,Finance,Major Banks
CIXX,CI Financial Corp. Common Shares,$15.05,0.16,1.075%,3145450000.00,,,33254,Finance,Investment Managers
CM,Canadian Imperial Bank of Commerce Common Stock,$101.16,-0.05,-0.049%,45304466042.00,Canada,,518826,Finance,Commercial Banks
CMA,Comerica Incorporated Common Stock,$69.35,-1.28,-1.812%,9673698908.00,United States,,6758417,Finance,Major Banks
CNA,CNA Financial Corporation Common Stock,$45.96,-0.94,-2.004%,12473158074.00,United States,,330766,Finance,Property-Casualty Insurers
CNO,CNO Financial Group Inc. Common Stock,$25.50,-0.15,-0.585%,3433429395.00,United States,,3555694,Finance,Accident &Health Insurance
CNS,Cohen & Steers Inc Common Stock,$65.67,0.89,1.374%,3167214913.00,United States,2004,643089,Finance,Investment Managers
COF,Capital One Financial Corporation Common Stock,$126.43,-1.88,-1.465%,58061301038.00,United States,1994,3318363,Finance,Major Banks
CS,Credit Suisse Group American Depositary Shares,$13.08,0.02,0.153%,31471788000.00,Switzerland,,2812523,Finance,Investment Bankers/Brokers/Service
CWK,Cushman & Wakefield plc Ordinary Shares,$16.64,-0.15,-0.893%,3697060024.00,,2018,2139090,Finance,Real Estate
DB,Deutsche Bank AG Common Stock,$12.66,-0.28,-2.164%,26136229838.00,Germany,,3570141,Finance,Major Banks
DFS,Discover Financial Services Common Stock,$94.78,-0.90,-0.941%,29035376257.00,United States,,8962118,Finance,Finance: Consumer Services
DNB,Dun & Bradstreet Holdings Inc. Common Stock,$24.21,0.57,2.411%,10396722887.00,United States,2020,7317691,Finance,Finance: Consumer Services
EFX,Equifax Inc. Common Stock,$174.18,1.48,0.857%,21213048123.00,United States,,1048449,Finance,Finance: Consumer Services
EQH,Equitable Holdings Inc. Common Stock,$32.62,0.10,0.308%,14505601181.00,United States,2018,5667844,Finance,Specialty Insurers
ESNT,Essent Group Ltd. Common Shares,$43.50,-0.87,-1.961%,4908566753.00,,2013,2755919,Finance,Property-Casualty Insurers
EVR,Evercore Inc. Class A Common Stock,$137.40,-1.20,-0.866%,5773993451.00,United States,2006,1246274,Finance,Investment Managers
FAF,First American Corporation (New) Common Stock,$53.62,-0.18,-0.335%,5986407474.00,United States,,2721495,Finance,Specialty Insurers
FBC,Flagstar Bancorp Inc. Common Stock,$47.58,-1.17,-2.40%,2506473814.00,United States,,1844986,Finance,Savings Institutions
FBK,FB Financial Corporation Common Stock,$47.32,0.20,0.424%,2238599796.00,United States,2016,414067,Finance,Major Banks
FBP,First BanCorp. New Common Stock,$12.22,0.18,1.495%,2666754653.00,Puerto Rico,,9776847,Finance,Major Banks
FHI,Federated Hermes Inc. Common Stock,$30.31,0.25,0.832%,3002522027.00,United States,,1867047,Finance,Investment Managers
FHN,First Horizon Corporation Common Stock,$17.26,-0.34,-1.932%,9556357041.00,United States,,33248813,Finance,Major Banks
FINV,FinVolution Group American Depositary Shares,$8.24,-0.23,-2.715%,2519336748.00,United States,2017,4591647,Finance,Finance: Consumer Services
