Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABBV,AbbVie Inc. Common Stock,$103.42,-0.35,-0.337%,182627484380.00,United States,2012,10895735,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,$115.92,0.29,0.251%,23729536908.00,United States,,2448265,Health Care,Other Pharmaceuticals
ABT,Abbott Laboratories Common Stock,$120.25,2.14,1.812%,213026405300.00,United States,,11275122,Health Care,Major Pharmaceuticals
ADCT,ADC Therapeutics SA Common Shares,$28.07,-1.11,-3.804%,2153492449.00,,2020,580285,Health Care,Major Pharmaceuticals
ALC,Alcon Inc. Ordinary Shares,$68.15,0.07,0.103%,33340299043.00,Switzerland,2019,1139330,Health Care,Ophthalmic Goods
ANTM,Anthem Inc. Common Stock,$354.13,0.81,0.229%,86728451646.00,United States,,2962722,Health Care,Medical Specialities
AVNS,Avanos Medical Inc. Common Stock,$45.91,-0.59,-1.269%,2202090320.00,United States,2014,908593,Health Care,Industrial Specialties
BAX,Baxter International Inc. Common Stock,$80.30,0.44,0.551%,40559842688.00,United States,,3976478,Health Care,Medical/Dental Instruments
BDX,Becton Dickinson and Company Common Stock,$239.02,-0.18,-0.075%,69449649049.00,United States,,2564071,Health Care,Medical/Dental Instruments
BFLY,Butterfly Network Inc. Class A Common Stock,$18.12,0.20,1.116%,3466164091.00,,2020,4172370,Health Care,Medical Electronics
BHC,Bausch Health Companies Inc. Common Stock,$33.00,0.16,0.487%,11735454258.00,Canada,,11126634,Health Care,Major Pharmaceuticals
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares,$70.47,-0.88,-1.233%,4364395114.00,United States,2017,1504904,Health Care,Major Pharmaceuticals
BMY,Bristol-Myers Squibb Company Common Stock,$62.70,0.37,0.594%,140477792093.00,United States,,29560753,Health Care,Major Pharmaceuticals
BSX,Boston Scientific Corporation Common Stock,$38.17,-0.02,-0.052%,54093215036.00,United States,,12333855,Health Care,Medical/Dental Instruments
CAH,Cardinal Health Inc. Common Stock,$58.68,0.40,0.686%,17232412421.00,United States,,3672059,Health Care,Other Pharmaceuticals
CHE,Chemed Corp,$452.37,0.16,0.035%,7252804782.00,United States,,210741,Health Care,Medical/Nursing Services
CI,Cigna Corporation Common Stock,$243.26,-0.56,-0.23%,85279901460.00,United States,,5060058,Health Care,Medical Specialities
CMD,Cantel Medical Corp. Common Stock,$78.30,-0.05,-0.064%,3309524735.00,United States,,981185,Health Care,Medical/Dental Instruments
CNC,Centene Corporation Common Stock,$64.24,0.67,1.054%,37361536954.00,United States,,5419379,Health Care,Medical Specialities
CNMD,CONMED Corporation Common Stock,$125.54,2.64,2.148%,3633473714.00,United States,1987,395411,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
COO,The Cooper Companies Inc. Common Stock,$384.02,5.24,1.383%,18874993133.00,United States,,476051,Health Care,Ophthalmic Goods
CRL,Charles River Laboratories International Inc. Common Stock,$286.68,-1.60,-0.555%,14269848756.00,United States,2000,480110,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CTLT,Catalent Inc. Common Stock,$106.01,2.01,1.933%,18045712749.00,United States,2014,4440223,Health Care,Major Pharmaceuticals
CVS,CVS Health Corporation Common Stock,$73.18,-1.30,-1.745%,95964953485.00,United States,,10424033,Health Care,Medical/Nursing Services
DGX,Quest Diagnostics Incorporated Common Stock,$125.28,1.02,0.821%,16719212458.00,United States,,1686981,Health Care,Medical Specialities
DVA,DaVita Inc. Common Stock,$109.83,0.64,0.586%,11957192100.00,United States,,1230655,Health Care,Misc Health and Biotechnology Services
EBS,Emergent Biosolutions Inc. Common Stock,$90.98,2.69,3.047%,4849234000.00,United States,2006,1268829,Health Care,Major Pharmaceuticals
EHC,Encompass Health Corporation Common Stock,$80.59,0.27,0.336%,7999823247.00,United States,,1059525,Health Care,Hospital/Nursing Management
ELAN,Elanco Animal Health Incorporated Common Stock,$31.09,-2.66,-7.881%,14679755444.00,United States,2018,10866120,Health Care,Major Pharmaceuticals
EW,Edwards Lifesciences Corporation Common Stock,$79.41,0.73,0.928%,49593043705.00,United States,,3507804,Health Care,Industrial Specialties
FMS,Fresenius Medical Care AG Common Stock,$36.73,0.25,0.685%,21514712832.00,Germany,,323413,Health Care,Misc Health and Biotechnology Services
GKOS,Glaukos Corporation Common Stock,$88.43,2.49,2.897%,4048871897.00,United States,2015,707430,Health Care,Medical/Dental Instruments
