Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ALK,Alaska Air Group Inc. Common Stock,$70.78,0.19,0.269%,8792744309.00,United States,,2414022,Transportation,Air Freight/Delivery Services
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,$178.55,-12.55,-6.567%,5356500000.00,Mexico,,171726,Transportation,Aerospace
ATCO,Atlas Corp. Common Shares,$14.48,0.28,1.972%,3562543201.00,Hong Kong,,1471643,Transportation,Marine Transportation
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),$22.93,0.96,4.37%,2614214928.00,Brazil,2017,1015775,Transportation,Air Freight/Delivery Services
BCO,Brinks Company (The) Common Stock,$82.58,0.10,0.121%,4088672305.00,United States,,749951,Transportation,Oil Refining/Marketing
CEA,China Eastern Airlines Corporation Ltd. Common Stock,$25.27,-0.51,-1.978%,8278203950.00,China,1997,10626,Transportation,Air Freight/Delivery Services
CNI,Canadian National Railway Company Common Stock,$116.82,-1.30,-1.101%,82977246000.00,Canada,,731630,Transportation,Railroads
CP,Canadian Pacific Railway Limited Common Stock,$378.48,-5.27,-1.373%,50450337881.00,Canada,,290521,Transportation,Railroads
CPA,Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock,$89.86,1.61,1.824%,3806414785.00,Panama,2005,383528,Transportation,Air Freight/Delivery Services
DAL,Delta Air Lines Inc. Common Stock,$49.00,-0.18,-0.366%,31269186585.00,United States,,11717971,Transportation,Air Freight/Delivery Services
FDX,FedEx Corporation Common Stock,$279.58,16.07,6.098%,74108436111.00,United States,,12681842,Transportation,Air Freight/Delivery Services
KNX,Knight-Swift Transportation Holdings Inc.,$45.63,-0.21,-0.458%,7558576327.00,United States,2017,4353377,Transportation,Trucking Freight/Courier Services
KSU,Kansas City Southern Common Stock,$224.16,0.84,0.376%,20364453384.00,United States,,1678697,Transportation,Railroads
LUV,Southwest Airlines Company Common Stock,$61.05,0.11,0.181%,36060859788.00,United States,,9162202,Transportation,Air Freight/Delivery Services
NSC,Norfolk Southern Corporation Common Stock,$260.46,-2.61,-0.992%,65612904192.00,United States,,2112381,Transportation,Railroads
PAC,Grupo Aeroportuario Del Pacifico S.A. B. de C.V. Grupo Aeroportuario Del Pacifico S.A. de C.V. (each representing 10 Series B shares),$109.66,-3.52,-3.11%,5763461372.00,Mexico,2006,107172,Transportation,Aerospace
SAVE,Spirit Airlines Inc. Common Stock,$39.73,1.09,2.821%,3884929794.00,United States,,4298442,Transportation,Air Freight/Delivery Services
SNDR,Schneider National Inc. Common Stock,$25.18,-0.20,-0.788%,4465782432.00,United States,2017,656643,Transportation,Trucking Freight/Courier Services
UNP,Union Pacific Corporation Common Stock,$210.80,-4.56,-2.117%,141200029720.00,United States,,7004956,Transportation,Railroads
UPS,United Parcel Service Inc. Common Stock,$159.29,-0.91,-0.568%,138110567284.00,United States,1999,14461391,Transportation,Trucking Freight/Courier Services
ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares,$28.25,1.61,6.044%,3234625000.00,,2021,660071,Transportation,Marine Transportation
ZNH,China Southern Airlines Company Limited Common Stock,$38.46,-0.36,-0.927%,11791299368.00,China,1997,17860,Transportation,Air Freight/Delivery Services
ZTO,ZTO Express (Cayman) Inc. American Depositary Shares each representing one Class A ordinary share.,$28.61,-0.87,-2.951%,24470164900.00,China,2016,8309369,Transportation,Trucking Freight/Courier Services
