Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAON,AAON Inc. Common Stock,$71.98,-0.87,-1.194%,3763620851.00,United States,,165540,Capital Goods,Industrial Machinery/Components
AEIS,Advanced Energy Industries Inc. Common Stock,$103.365,-0.815,-0.782%,3966706815.00,United States,1995,186014,Capital Goods,Industrial Machinery/Components
AIMC,Altra Industrial Motion Corp. Common Stock,$59.09,-1.13,-1.876%,3829460580.00,United States,2006,288012,Capital Goods,Industrial Machinery/Components
AVAV,AeroVironment Inc. Common Stock,$117.67,-1.67,-1.399%,2903681990.00,United States,2007,138069,Capital Goods,Aerospace
AXON,Axon Enterprise Inc. Common Stock,$143.79,3.83,2.736%,9171479648.00,United States,,139323,Capital Goods,Ordnance And Accessories
BLI,Berkeley Lights Inc. Common Stock,$51.25,1.36,2.726%,3326221504.00,United States,2020,316257,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BRKR,Bruker Corporation Common Stock,$60.50,0.43,0.716%,9169702707.00,United States,,59497,Capital Goods,Biotechnology: Laboratory Analytical Instruments
CGNX,Cognex Corporation Common Stock,$79.48,-0.55,-0.687%,13990720064.00,United States,1989,248056,Capital Goods,Industrial Machinery/Components
COHR,Coherent Inc. Common Stock,$259.65,-1.07,-0.41%,6348109629.00,United States,,146691,Capital Goods,Biotechnology: Laboratory Analytical Instruments
COHU,Cohu Inc. Common Stock,$43.41,-0.22,-0.504%,2080012115.00,United States,,286270,Capital Goods,Electrical Products
DFH,Dream Finders Homes Inc. Class A Common Stock,$23.025,0.265,1.164%,2130307123.00,United States,2021,28621,Capital Goods,Homebuilding
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,$81.18,2.03,2.565%,7137356153.00,Canada,,23634,Capital Goods,Industrial Specialties
DORM,Dorman Products Inc. Common Stock,$105.79,1.02,0.974%,3404010225.00,United States,,98299,Capital Goods,Auto Parts:O.E.M.
ESLT,Elbit Systems Ltd. Ordinary Shares,$135.125,-0.705,-0.519%,5972547161.00,Israel,,5830,Capital Goods,Military/Government/Technical
FLIR,FLIR Systems Inc. (DE) Common Stock,$54.46,-0.51,-0.928%,7147245715.00,United States,1993,790186,Capital Goods,Industrial Machinery/Components
GNTX,Gentex Corporation Common Stock,$35.84,-0.28,-0.775%,8733007073.00,United States,,597611,Capital Goods,Auto Parts:O.E.M.
GOEV,Canoo Inc. Class A Common Stock,$15.25,-0.10,-0.651%,3593746421.00,United States,2019,2077337,Capital Goods,Auto Parts:O.E.M.
GRMN,Garmin Ltd. Common Stock (Switzerland),$124.665,-0.785,-0.626%,23882245340.00,Switzerland,2000,198361,Capital Goods,Industrial Machinery/Components
HLIO,Helios Technologies Inc. Common Stock,$70.91,-2.99,-4.046%,2282857678.00,United States,,115449,Capital Goods,Metal Fabrications
IEP,Icahn Enterprises L.P. Common Stock,$58.3916,0.0516,0.088%,14092160718.00,United States,,194385,Capital Goods,Auto Parts:O.E.M.
IIVI,II-VI Incorporated Common Stock,$66.7211,-1.7089,-2.497%,6989838347.00,United States,1987,1109234,Capital Goods,Electronic Components
ILMN,Illumina Inc. Common Stock,$413.93,4.74,1.158%,60392387000.00,United States,2000,322214,Capital Goods,Biotechnology: Laboratory Analytical Instruments
IRDM,Iridium Communications Inc Common Stock,$38.79,0.27,0.701%,5208706964.00,United States,,782401,Capital Goods,Telecommunications Equipment
ITRI,Itron Inc. Common Stock,$90.68,2.20,2.486%,4074011917.00,United States,1993,358096,Capital Goods,Electrical Products
KLAC,KLA Corporation Common Stock,$289.07,0.33,0.114%,44538359365.00,United States,1980,506807,Capital Goods,Electronic Components
KRNT,Kornit Digital Ltd. Ordinary Shares,$101.77,1.19,1.183%,4607934733.00,Israel,2015,68039,Capital Goods,Industrial Machinery/Components
KTOS,Kratos Defense & Security Solutions Inc. Common Stock,$25.51,-0.275,-1.067%,3149543579.00,United States,,674238,Capital Goods,Military/Government/Technical
LAZR,Luminar Technologies Inc.  Class A Common Stock,$29.52,3.22,12.243%,9562597805.00,United States,2019,4350847,Capital Goods,Auto Parts:O.E.M.
