Basic Industries , Agricultural Chemicals , AVD
Basic Industries , Agricultural Chemicals , CF
Basic Industries , Agricultural Chemicals , ICL
Basic Industries , Agricultural Chemicals , MOS
Basic Industries , Agricultural Chemicals , NTR
Basic Industries , Agricultural Chemicals , SMG
Basic Industries , Agricultural Chemicals , UAN
Basic Industries , Aluminum , AA
Basic Industries , Aluminum , ACH
Basic Industries , Aluminum , CENX
Basic Industries , Electric Utilities_ Central , AES
Basic Industries , Electric Utilities_ Central , CVA
Basic Industries , Engineering _ Construction , AGX
Basic Industries , Engineering _ Construction , AMRC
Basic Industries , Engineering _ Construction , APG
Basic Industries , Engineering _ Construction , BBU
Basic Industries , Engineering _ Construction , BLD
Basic Industries , Engineering _ Construction , MTRX
Basic Industries , Environmental Services , CLH
Basic Industries , Environmental Services , SRCL
Basic Industries , Forest Products , AMWD
Basic Industries , Forest Products , DOOR
Basic Industries , Forest Products , EVA
Basic Industries , Forest Products , FBHS
Basic Industries , Forest Products , JELD
Basic Industries , Forest Products , KOP
Basic Industries , Forest Products , LPX
Basic Industries , Forest Products , TREX
Basic Industries , Forest Products , UFPI
Basic Industries , Forest Products , WFG
Basic Industries , General Bldg Contractors - Nonresidential Bldgs , TPC
Basic Industries , Home Furnishings , CSWI
Basic Industries , Home Furnishings , FUL
Basic Industries , Homebuilding , CVCO
Basic Industries , Homebuilding , IBP
Basic Industries , Homebuilding , LEGH
Basic Industries , Homebuilding , LEN
Basic Industries , Homebuilding , SKY
Basic Industries , Major Chemicals , ALB
Basic Industries , Major Chemicals , AMRS
Basic Industries , Major Chemicals , APD
Basic Industries , Major Chemicals , ASIX
Basic Industries , Major Chemicals , ATC
Basic Industries , Major Chemicals , AVNT
Basic Industries , Major Chemicals , BAK
Basic Industries , Major Chemicals , BCPC
Basic Industries , Major Chemicals , CBT
Basic Industries , Major Chemicals , CC
Basic Industries , Major Chemicals , CDXS
Basic Industries , Major Chemicals , CE
Basic Industries , Major Chemicals , DD
Basic Industries , Major Chemicals , DNMR
Basic Industries , Major Chemicals , DOW
Basic Industries , Major Chemicals , EMN
Basic Industries , Major Chemicals , ESI
Basic Industries , Major Chemicals , FF
Basic Industries , Major Chemicals , FMC
Basic Industries , Major Chemicals , GCP
Basic Industries , Major Chemicals , GPRE
Basic Industries , Major Chemicals , GRA
Basic Industries , Major Chemicals , HUN
Basic Industries , Major Chemicals , HXL
Basic Industries , Major Chemicals , IFF
Basic Industries , Major Chemicals , IOSP
Basic Industries , Major Chemicals , KRA
Basic Industries , Major Chemicals , KRO
Basic Industries , Major Chemicals , KWR
Basic Industries , Major Chemicals , LIN
Basic Industries , Major Chemicals , LTHM
Basic Industries , Major Chemicals , LYB
Basic Industries , Major Chemicals , MEOH
Basic Industries , Major Chemicals , MTX
Basic Industries , Major Chemicals , NEU
Basic Industries , Major Chemicals , NGVT
Basic Industries , Major Chemicals , NL
Basic Industries , Major Chemicals , OEC
Basic Industries , Major Chemicals , OLN
Basic Industries , Major Chemicals , PQG
Basic Industries , Major Chemicals , REGI
Basic Industries , Major Chemicals , REX
Basic Industries , Major Chemicals , ROG
Basic Industries , Major Chemicals , SEE
Basic Industries , Major Chemicals , SHI
Basic Industries , Major Chemicals , SXT
Basic Industries , Major Chemicals , TROX
Basic Industries , Major Chemicals , TSE
Basic Industries , Major Chemicals , VHI
Basic Industries , Major Chemicals , VNTR
Basic Industries , Major Chemicals , VVV
Basic Industries , Major Chemicals , WDFC
Basic Industries , Major Chemicals , WLK
Basic Industries , Major Chemicals , WLKP
Basic Industries , Metal Fabrications , CSTM
Basic Industries , Metal Fabrications , NPO
Basic Industries , Metal Fabrications , RS
Basic Industries , Metal Fabrications , RYI
Basic Industries , Military-Government-Technical , AENZ
Basic Industries , Military-Government-Technical , FLR
Basic Industries , Military-Government-Technical , GLDD
Basic Industries , Military-Government-Technical , GVA
Basic Industries , Military-Government-Technical , J
Basic Industries , Military-Government-Technical , KBR
Basic Industries , Military-Government-Technical , ROAD
Basic Industries , Military-Government-Technical , STRL
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , CMP
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , HL
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , IPI
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , MDU
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , MLM
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , SLCA
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , SQM
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , SUM
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , TECK
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , USLM
Basic Industries , Mining _ Quarrying of Nonmetallic Minerals _No Fuels_ , VMC
Basic Industries , Miscellaneous , HCCI
Basic Industries , Other Specialty Stores , AMRK
Basic Industries , Package Goods-Cosmetics , CHD
Basic Industries , Package Goods-Cosmetics , ECL
Basic Industries , Package Goods-Cosmetics , PG
Basic Industries , Package Goods-Cosmetics , SCL
Basic Industries , Package Goods-Cosmetics , UL
Basic Industries , Paints-Coatings , AXTA
Basic Industries , Paints-Coatings , FOE
Basic Industries , Paints-Coatings , PPG
Basic Industries , Paints-Coatings , RPM
Basic Industries , Paper , CLW
Basic Industries , Paper , GLT
Basic Industries , Paper , IP
Basic Industries , Paper , MERC
Basic Industries , Paper , NP
Basic Industries , Paper , RFP
Basic Industries , Paper , RYAM
Basic Industries , Paper , SUZ
Basic Industries , Paper , SWM
Basic Industries , Paper , UFS
Basic Industries , Paper , VRS
Basic Industries , Precious Metals , AEM
Basic Industries , Precious Metals , AG
Basic Industries , Precious Metals , AGI
Basic Industries , Precious Metals , AU
Basic Industries , Precious Metals , AUY
Basic Industries , Precious Metals , BHP
Basic Industries , Precious Metals , BVN
Basic Industries , Precious Metals , CCJ
Basic Industries , Precious Metals , CDE
Basic Industries , Precious Metals , CLF
Basic Industries , Precious Metals , DRD
Basic Industries , Precious Metals , EGO
Basic Industries , Precious Metals , EXK
Basic Industries , Precious Metals , FCX
Basic Industries , Precious Metals , FNV
Basic Industries , Precious Metals , FSM
Basic Industries , Precious Metals , GATO
Basic Industries , Precious Metals , GFI
Basic Industries , Precious Metals , GOLD
Basic Industries , Precious Metals , HBM
Basic Industries , Precious Metals , HMY
Basic Industries , Precious Metals , IAG
Basic Industries , Precious Metals , KGC
Basic Industries , Precious Metals , KL
Basic Industries , Precious Metals , LAC
Basic Industries , Precious Metals , MP
Basic Industries , Precious Metals , MSB
Basic Industries , Precious Metals , MUX
Basic Industries , Precious Metals , NEM
Basic Industries , Precious Metals , NEXA
Basic Industries , Precious Metals , OR
Basic Industries , Precious Metals , PAAS
Basic Industries , Precious Metals , PVG
Basic Industries , Precious Metals , RGLD
Basic Industries , Precious Metals , RIO
Basic Industries , Precious Metals , SA
Basic Industries , Precious Metals , SAND          
Basic Industries , Precious Metals , SCCO
Basic Industries , Precious Metals , SSRM
Basic Industries , Precious Metals , TRQ
Basic Industries , Precious Metals , VALE
Basic Industries , Precious Metals , VEDL
Basic Industries , Precious Metals , WPM
Basic Industries , Specialty Chemicals , CSL
Basic Industries , Specialty Chemicals , WST
Basic Industries , Steel-Iron Ore , ATI
Basic Industries , Steel-Iron Ore , CMC
Basic Industries , Steel-Iron Ore , CRS
Basic Industries , Steel-Iron Ore , MT
Basic Industries , Steel-Iron Ore , MTL
Basic Industries , Steel-Iron Ore , NUE
Basic Industries , Steel-Iron Ore , NWPX
Basic Industries , Steel-Iron Ore , PKX
Basic Industries , Steel-Iron Ore , STLD
Basic Industries , Steel-Iron Ore , SXC
Basic Industries , Steel-Iron Ore , TMST
Basic Industries , Steel-Iron Ore , TS
Basic Industries , Steel-Iron Ore , TWI
Basic Industries , Steel-Iron Ore , TX
Basic Industries , Steel-Iron Ore , X
Basic Industries , Telecommunications Equipment , BDC
Basic Industries , Telecommunications Equipment , GLW
Basic Industries , Textiles , AIN
Basic Industries , Water Supply , AEGN
Basic Industries , Water Supply , DY
Basic Industries , Water Supply , MTZ
Basic Industries , Water Supply , MYRG
Basic Industries , Water Supply , PLPC
Basic Industries , Water Supply , PRIM
Capital Goods , Aerospace , AIR
Capital Goods , Aerospace , AVAV
Capital Goods , Aerospace , BA
Capital Goods , Aerospace , ERJ
Capital Goods , Aerospace , HEI
Capital Goods , Aerospace , HON
Capital Goods , Aerospace , RTX
Capital Goods , Aerospace , TGI
Capital Goods , Aerospace , TXT
Capital Goods , Auto Manufacturing , F
Capital Goods , Auto Manufacturing , FSR
Capital Goods , Auto Manufacturing , FSS
Capital Goods , Auto Manufacturing , GIK
Capital Goods , Auto Manufacturing , GM
Capital Goods , Auto Manufacturing , HMC
Capital Goods , Auto Manufacturing , KNDI
Capital Goods , Auto Manufacturing , LI
Capital Goods , Auto Manufacturing , NAV
Capital Goods , Auto Manufacturing , NIO
Capital Goods , Auto Manufacturing , NKLA
Capital Goods , Auto Manufacturing , OSK
Capital Goods , Auto Manufacturing , PCAR
Capital Goods , Auto Manufacturing , RACE
Capital Goods , Auto Manufacturing , REVG
Capital Goods , Auto Manufacturing , RIDE
Capital Goods , Auto Manufacturing , SHYF
Capital Goods , Auto Manufacturing , TM
Capital Goods , Auto Manufacturing , TSLA
Capital Goods , Auto Manufacturing , TTM
Capital Goods , Auto Manufacturing , XPEV
Capital Goods , Auto Parts_O.E.M. , ADNT
Capital Goods , Auto Parts_O.E.M. , AEVA
Capital Goods , Auto Parts_O.E.M. , ALSN
Capital Goods , Auto Parts_O.E.M. , ALV
Capital Goods , Auto Parts_O.E.M. , APOG
Capital Goods , Auto Parts_O.E.M. , APTV
Capital Goods , Auto Parts_O.E.M. , AXL
Capital Goods , Auto Parts_O.E.M. , BWA
Capital Goods , Auto Parts_O.E.M. , CPS
Capital Goods , Auto Parts_O.E.M. , CVGI
Capital Goods , Auto Parts_O.E.M. , DAN
Capital Goods , Auto Parts_O.E.M. , DORM
Capital Goods , Auto Parts_O.E.M. , GNTX
Capital Goods , Auto Parts_O.E.M. , GOEV
Capital Goods , Auto Parts_O.E.M. , IEP
Capital Goods , Auto Parts_O.E.M. , LAZR
Capital Goods , Auto Parts_O.E.M. , LCII
Capital Goods , Auto Parts_O.E.M. , LDL
Capital Goods , Auto Parts_O.E.M. , LEA
Capital Goods , Auto Parts_O.E.M. , MGA
Capital Goods , Auto Parts_O.E.M. , MOD
Capital Goods , Auto Parts_O.E.M. , MPAA
Capital Goods , Auto Parts_O.E.M. , MTOR
Capital Goods , Auto Parts_O.E.M. , PATK
Capital Goods , Auto Parts_O.E.M. , RMO
Capital Goods , Auto Parts_O.E.M. , SMP
Capital Goods , Auto Parts_O.E.M. , SRI
Capital Goods , Auto Parts_O.E.M. , TEN
Capital Goods , Auto Parts_O.E.M. , THRM
Capital Goods , Auto Parts_O.E.M. , TT
Capital Goods , Auto Parts_O.E.M. , VC
Capital Goods , Auto Parts_O.E.M. , VNE
Capital Goods , Auto Parts_O.E.M. , XL
Capital Goods , Automotive Aftermarket , GPC
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , A
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , AVTR
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , BIO
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , BLI
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , BRKR
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , COHR
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , FLDM
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , ILMN
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , MTD
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , PACB
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , PKI
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , SEER
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , TXG
Capital Goods , Biotechnology_ Laboratory Analytical Instruments , WAT
Capital Goods , Building Materials , CPAC
Capital Goods , Building Materials , CRH
Capital Goods , Building Materials , CSTE
Capital Goods , Building Materials , CX
Capital Goods , Building Materials , EXP
Capital Goods , Building Materials , FRTA
Capital Goods , Building Materials , JHX
Capital Goods , Building Materials , LOMA
Capital Goods , Building Materials , USCR
Capital Goods , Building Products , BW
Capital Goods , Building Products , GFF
